RSI5,RSI30,CCI,GRID_SIZE,GRID_DISTANCE,PROFIT_TARGET,OFFSET,Trades,ProfitNet,ActualCash
45,60,-150,20,0.08,0.008,0.0005,1,-19.4274,9980.57
45,50,100,20,0.08,0.008,0.0005,2,-10.2143,9989.79
40,55,0,30,0.08,0.008,0.001,1,-29.1827,9970.82
40,45,50,30,0.08,0.004,0.0005,4,-0.5006,9999.5
40,45,100,15,0.08,0.002,0.001,8,9.1634,10009.16
50,50,50,30,0.08,0.008,0.0005,2,-6.8096,9993.19
45,55,-100,30,0.08,0.004,0.0001,1,-14.5571,9985.44
45,45,100,15,0.08,0.008,0.0005,1,-42.3883,9957.61
45,55,-150,30,0.08,0.002,0.0005,6,-1.7296,9998.27
45,55,-200,10,0.08,0.006,0.0005,4,4.3452,10004.35
45,60,-200,25,0.08,0.008,0.0001,4,20.41,10020.41
50,60,-150,20,0.08,0.006,0.001,1,-19.1869,9980.81
40,45,-200,15,0.08,0.008,0.001,4,13.356,10013.36
50,55,-200,30,0.08,0.006,0.001,4,1.8774,10001.88
50,50,50,15,0.08,0.002,0.0005,5,-16.1012,9983.9
50,50,0,15,0.08,0.002,0.0005,3,-20.711,9979.29
40,45,100,20,0.08,0.002,0.001,8,6.8725,10006.87
40,45,-150,15,0.08,0.004,0.0005,4,0.8029,10000.8
45,50,50,30,0.08,0.008,0.0005,2,-6.8096,9993.19
50,60,-150,20,0.08,0.002,0.0005,6,-2.5944,9997.41
45,45,0,15,0.08,0.006,0.0005,4,7.595,10007.6
40,50,-200,30,0.08,0.006,0.0005,4,1.4484,10001.45
40,60,50,30,0.08,0.006,0.001,3,-12.191,9987.81
40,55,50,10,0.08,0.008,0.0001,4,-41.9159,9958.08
40,55,0,30,0.08,0.008,0.0005,1,-29.5016,9970.5
50,40,-50,15,0.08,0.002,0.0005,6,19.8128,10019.81
45,55,50,15,0.08,0.004,0.0001,5,-15.8135,9984.19
40,50,50,10,0.08,0.006,0.001,2,-30.601,9969.4
50,60,100,25,0.08,0.006,0.001,4,-27.5019,9972.5
40,55,0,10,0.08,0.004,0.0001,2,-35.41,9964.59
50,60,-100,25,0.08,0.004,0.001,1,-17.1239,9982.88
45,60,-200,10,0.08,0.008,0.0001,4,51.0249,10051.02
40,60,100,10,0.08,0.006,0.0001,3,-66.249,9933.75
40,45,-50,15,0.08,0.004,0.001,6,12.6897,10012.69
45,55,0,20,0.08,0.006,0.0001,1,-46.3461,9953.65
50,40,50,10,0.08,0.006,0.001,4,37.09,10037.09
40,45,100,15,0.08,0.008,0.0005,1,-42.3883,9957.61
40,40,100,30,0.08,0.006,0.0001,5,18.3401,10018.34
50,50,50,10,0.08,0.002,0.001,5,-22.4553,9977.54
50,40,-50,30,0.08,0.002,0.0001,6,9.3713,10009.37
40,40,-100,10,0.08,0.002,0.0001,6,27.424,10027.42
40,45,50,25,0.08,0.006,0.001,4,5.2862,10005.29
40,60,0,15,0.08,0.004,0.0005,2,-23.0825,9976.92
40,55,-150,25,0.08,0.006,0.0001,1,-15.3479,9984.65
45,50,100,20,0.08,0.004,0.001,2,-16.975,9983.03
45,60,-50,15,0.08,0.006,0.0001,1,-29.1142,9970.89
45,60,-100,25,0.08,0.006,0.0005,1,-17.3154,9982.68
40,60,-150,10,0.08,0.008,0.001,1,-37.5034,9962.5
45,50,50,25,0.08,0.008,0.0001,2,-8.6482,9991.35
40,45,-150,10,0.08,0.002,0.0001,6,17.3993,10017.4
40,55,-150,20,0.08,0.004,0.0005,1,-18.9924,9981.01
45,50,-100,25,0.08,0.006,0.001,1,-15.3495,9984.65
40,40,-200,15,0.08,0.004,0.001,4,15.1773,10015.18
45,50,0,15,0.08,0.006,0.0001,1,-26.1595,9973.84
45,40,-150,15,0.08,0.002,0.0001,5,17.2827,10017.28
45,55,100,10,0.08,0.006,0.0005,5,-16.2342,9983.77
45,40,-50,30,0.08,0.006,0.001,4,12.3633,10012.36
45,55,-150,25,0.08,0.008,0.0001,1,-15.6957,9984.3
50,55,0,10,0.08,0.006,0.0001,1,-92.6923,9907.31
50,40,50,30,0.08,0.004,0.0005,5,10.6163,10010.62
50,50,100,15,0.08,0.008,0.0005,2,-13.6191,9986.38
50,60,-200,10,0.08,0.004,0.001,5,18.7371,10018.74
45,60,-50,20,0.08,0.002,0.001,1,-21.4048,9978.6
40,55,-200,10,0.08,0.006,0.001,4,6.3494,10006.35
40,55,0,30,0.08,0.006,0.0005,1,-29.5016,9970.5
45,40,50,20,0.08,0.006,0.0001,5,27.5102,10027.51
40,60,-150,25,0.08,0.006,0.0005,1,-15.194,9984.81
40,45,-200,30,0.08,0.008,0.001,4,6.678,10006.68
50,45,-100,10,0.08,0.004,0.0005,6,11.0709,10011.07
50,40,0,10,0.08,0.002,0.0005,6,29.7193,10029.72
40,45,-150,15,0.08,0.006,0.0005,4,3.3373,10003.34
45,45,-200,30,0.08,0.002,0.0005,6,3.7405,10003.74
40,45,-200,30,0.08,0.002,0.0001,5,2.9883,10002.99
40,40,100,30,0.08,0.002,0.001,5,8.908,10008.91
50,45,-100,25,0.08,0.008,0.0001,1,-25.7428,9974.26
45,60,-100,10,0.08,0.004,0.001,1,-42.8097,9957.19
45,60,50,25,0.08,0.004,0.0001,5,-8.237,9991.76
50,40,-100,20,0.08,0.006,0.0001,5,27.5102,10027.51
40,55,-200,20,0.08,0.004,0.001,5,9.936,10009.94
40,45,-200,25,0.08,0.008,0.0001,4,20.41,10020.41
45,60,100,15,0.08,0.006,0.001,4,-45.0036,9955.0
40,45,-50,30,0.08,0.006,0.001,4,4.4051,10004.41
40,55,0,15,0.08,0.008,0.0005,1,-59.0032,9941.0
40,45,-100,15,0.08,0.008,0.0001,1,-42.9047,9957.1
50,45,0,15,0.08,0.002,0.001,9,9.1256,10009.13
40,45,-100,15,0.08,0.004,0.0005,6,7.6271,10007.63
50,55,-150,10,0.08,0.008,0.001,1,-38.3737,9961.63
40,60,0,10,0.08,0.006,0.0001,1,-89.2695,9910.73
45,50,100,10,0.08,0.006,0.0005,2,-32.4561,9967.54
40,50,-100,15,0.08,0.008,0.0005,1,-25.3233,9974.68
50,45,-200,25,0.08,0.008,0.0005,4,21.3786,10021.38
40,60,50,25,0.08,0.002,0.0001,6,-13.7074,9986.29
50,45,-100,10,0.08,0.002,0.001,8,15.755,10015.75
50,45,0,10,0.08,0.008,0.0005,1,-63.5825,9936.42
40,40,50,20,0.08,0.002,0.0005,6,14.1049,10014.1
50,50,-200,20,0.08,0.008,0.0001,4,25.5125,10025.51
40,45,0,10,0.08,0.008,0.001,1,-62.6133,9937.39
45,55,-150,15,0.08,0.002,0.001,5,-4.3653,9995.63
50,50,50,25,0.08,0.008,0.0001,2,-8.6482,9991.35
50,45,-100,25,0.08,0.004,0.001,7,10.5506,10010.55
50,45,-200,10,0.08,0.008,0.0005,4,53.4466,10053.45
50,40,-150,15,0.08,0.008,0.0005,4,9.0239,10009.02
45,45,-150,10,0.08,0.008,0.001,1,-64.1552,9935.84
45,40,-200,25,0.08,0.002,0.0001,5,5.4641,10005.46
40,55,100,30,0.08,0.004,0.001,3,-11.8171,9988.18
50,55,-200,20,0.08,0.002,0.001,6,6.4696,10006.47
50,55,100,25,0.08,0.008,0.001,4,-26.0273,9973.97
45,45,-200,30,0.08,0.004,0.001,5,5.4942,10005.49
40,60,0,20,0.08,0.008,0.001,1,-43.774,9956.23
45,40,-150,15,0.08,0.004,0.0001,5,20.9095,10020.91
45,50,50,10,0.08,0.002,0.001,9,6.9924,10006.99
40,50,-50,30,0.08,0.004,0.0005,1,-12.6616,9987.34
50,60,-50,10,0.08,0.008,0.0005,1,-43.2885,9956.71
50,50,0,10,0.08,0.006,0.0005,1,-38.8548,9961.15
45,40,50,30,0.08,0.008,0.0001,4,0.7678,10000.77
45,55,100,20,0.08,0.002,0.0005,5,-16.696,9983.3
45,45,-150,10,0.08,0.008,0.0005,1,-65.1236,9934.88
40,45,-100,30,0.08,0.006,0.0001,4,2.8331,10002.83
40,40,-150,15,0.08,0.004,0.0005,5,21.7973,10021.8
45,55,100,20,0.08,0.008,0.0005,4,-31.6094,9968.39
50,50,-200,30,0.08,0.002,0.0001,5,1.8594,10001.86
50,40,100,30,0.08,0.004,0.0005,5,10.6163,10010.62
40,45,100,25,0.08,0.004,0.0001,4,-1.2406,9998.76
40,45,-50,10,0.08,0.002,0.0001,8,14.9206,10014.92
50,40,-50,20,0.08,0.002,0.0001,6,14.057,10014.06
40,60,-150,10,0.08,0.006,0.0001,1,-38.3697,9961.63
45,60,100,10,0.08,0.004,0.0005,5,-16.2685,9983.73
50,60,-150,25,0.08,0.002,0.0001,6,-0.8648,9999.14
40,50,0,10,0.08,0.004,0.001,1,-37.5034,9962.5
45,45,50,25,0.08,0.004,0.0001,4,-1.2406,9998.76
40,45,-100,15,0.08,0.008,0.001,1,-41.7422,9958.26
