[2025-05-12 21:38:51] PID 14 | 144.35 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:38:51] PID 15 | 143.44 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:39:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:39:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:39:51] PID 8 | 162.22 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:39:51] PID 9 | 174.90 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:39:51] PID 10 | 154.61 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:39:51] PID 11 | 142.48 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:39:51] PID 12 | 143.91 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:39:51] PID 13 | 158.13 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:39:51] PID 14 | 144.35 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:39:51] PID 15 | 143.44 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:40:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:40:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:40:51] PID 8 | 162.31 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:40:51] PID 9 | 176.91 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:40:51] PID 10 | 154.41 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:40:51] PID 11 | 160.66 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:40:51] PID 12 | 143.91 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:40:51] PID 13 | 160.13 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:40:51] PID 14 | 144.35 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:40:51] PID 15 | 143.70 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:41:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:41:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:41:51] PID 8 | 162.25 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:41:51] PID 9 | 176.93 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:41:51] PID 10 | 154.62 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:41:51] PID 11 | 160.73 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:41:51] PID 12 | 143.91 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:41:51] PID 13 | 160.39 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:41:51] PID 14 | 145.64 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:41:51] PID 15 | 145.70 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:42:51] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:42:51] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:42:51] PID 8 | 162.34 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:42:51] PID 9 | 176.95 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:42:51] PID 10 | 155.46 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:42:51] PID 11 | 160.73 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:42:51] PID 12 | 143.91 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:42:51] PID 13 | 160.89 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:42:51] PID 14 | 145.64 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:42:51] PID 15 | 145.70 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:43:00] 📊 Всего Python-памяти: 118.79 MB
